bg:HellSprite,6.0
grid:<0.0, 0.0>&CastleTile&CastleWall
grid:<0.0, 1.0>&CastleTile&CastleWall
grid:<0.0, 2.0>&CastleTile&CastleWall
grid:<0.0, 3.0>&CastleTile&CastleWall
grid:<0.0, 4.0>&CastleTile&CastleWallWindow
grid:<0.0, 5.0>&CastleTile&CastleWall
grid:<0.0, 6.0>&CastleTile&CastleWall
grid:<0.0, 7.0>&CastleTile&CastleWall
grid:<0.0, 8.0>&CastleTile&CastleWall
grid:<0.0, 9.0>&CastleTile&CastleWall
grid:<0.0, 10.0>&CastleTile&CastleWall
grid:<0.0, 11.0>&CastleTile&CastleWallWindow
grid:<0.0, 12.0>&CastleTile&CastleWall
grid:<0.0, 13.0>&StoneTile&CastleWall
grid:<0.0, 14.0>&StoneTile&CastleWall
grid:<0.0, 15.0>&StoneTile&CastleWall
grid:<1.0, 0.0>&CastleTile&CastleWall
grid:<1.0, 1.0>&CastleTile&
grid:<1.0, 2.0>&CastleTile&
grid:<1.0, 3.0>&CastleTile&
grid:<1.0, 4.0>&CastleTile&
grid:<1.0, 5.0>&CastleTile&
grid:<1.0, 6.0>&CastleTile&
grid:<1.0, 7.0>&CastleTile&
grid:<1.0, 8.0>&CastleTile&
grid:<1.0, 9.0>&CastleTile&
grid:<1.0, 10.0>&CastleTile&
grid:<1.0, 11.0>&CastleTile&
grid:<1.0, 12.0>&CastleTile&
grid:<1.0, 13.0>&CastleTile&
grid:<1.0, 14.0>&CastleTile&
grid:<1.0, 15.0>&CastleTile&CastleWall
grid:<2.0, 0.0>&CastleTile&CastleWall
grid:<2.0, 1.0>&CastleTile&
grid:<2.0, 2.0>&CastleTile&
grid:<2.0, 3.0>&CastleTile&
grid:<2.0, 4.0>&CastleTile&
grid:<2.0, 5.0>&CastleTile&
grid:<2.0, 6.0>&CastleTile&
grid:<2.0, 7.0>&CastleTile&
grid:<2.0, 8.0>&CastleTile&
grid:<2.0, 9.0>&CastleTile&
grid:<2.0, 10.0>&CastleTile&
grid:<2.0, 11.0>&CastleTile&
grid:<2.0, 12.0>&CastleTile&
grid:<2.0, 13.0>&CastleTile&
grid:<2.0, 14.0>&CastleTile&
grid:<2.0, 15.0>&CastleTile&CastleWall
grid:<3.0, 0.0>&CastleTile&CastleWall
grid:<3.0, 1.0>&CastleTile&
grid:<3.0, 2.0>&CastleTile&
grid:<3.0, 3.0>&CastleTile&
grid:<3.0, 4.0>&CastleTile&
grid:<3.0, 5.0>&CastleTile&
grid:<3.0, 6.0>&CastleTile&
grid:<3.0, 7.0>&CastleTile&
grid:<3.0, 8.0>&CastleTile&
grid:<3.0, 9.0>&CastleTile&
grid:<3.0, 10.0>&CastleTile&
grid:<3.0, 11.0>&CastleTile&
grid:<3.0, 12.0>&CastleTile&
grid:<3.0, 13.0>&CastleTile&
grid:<3.0, 14.0>&CastleTile&
grid:<3.0, 15.0>&CastleTile&CastleWall
grid:<4.0, 0.0>&CastleTile&CastleWall
grid:<4.0, 1.0>&CastleTile&
grid:<4.0, 2.0>&CastleTile&
grid:<4.0, 3.0>&CastleTile&
grid:<4.0, 4.0>&StoneTile&CastleWall
grid:<4.0, 5.0>&CastleTile&CastleWall
grid:<4.0, 6.0>&CastleTile&CastleWall
grid:<4.0, 7.0>&CastleTile&
grid:<4.0, 8.0>&CastleTile&
grid:<4.0, 9.0>&StoneTile&CastleWall
grid:<4.0, 10.0>&CastleTile&CastleWall
grid:<4.0, 11.0>&CastleTile&CastleWall
grid:<4.0, 12.0>&CastleTile&
grid:<4.0, 13.0>&CastleTile&
grid:<4.0, 14.0>&CastleTile&
grid:<4.0, 15.0>&StoneTile&CastleWallWindow
grid:<5.0, 0.0>&CastleTile&CastleWallWindow
grid:<5.0, 1.0>&CastleTile&
grid:<5.0, 2.0>&CastleTile&
grid:<5.0, 3.0>&CastleTile&
grid:<5.0, 4.0>&CastleTile&CastleWall
grid:<5.0, 5.0>&StoneTile&CastleWall
grid:<5.0, 6.0>&CastleTile&CastleWall
grid:<5.0, 7.0>&CastleTile&
grid:<5.0, 8.0>&CastleTile&
grid:<5.0, 9.0>&StoneTile&CastleWall
grid:<5.0, 10.0>&CastleTile&CastleWall
grid:<5.0, 11.0>&CastleTile&CastleWall
grid:<5.0, 12.0>&CastleTile&
grid:<5.0, 13.0>&CastleTile&
grid:<5.0, 14.0>&CastleTile&
